source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,2,FullContext,128,2394.7,7045.9,13.62,7085.0,6647.8
ruler,niah_single,4096,2,FullContext,256,2394.7,7045.9,13.62,7085.0,6647.8
ruler,niah_single,4096,2,FullContext,512,2394.7,7045.9,13.62,7085.0,6647.8
ruler,niah_single,4096,2,BlockSal,98,2394.7,5926.7,16.2,7085.0,6011.2
ruler,niah_single,4096,2,BlockSal,128,2394.7,5895.8,16.28,7085.0,6016.4
ruler,niah_single,4096,2,BlockSal,256,2394.7,5875.3,16.34,7085.0,6037.1
ruler,niah_single,4096,2,BlockSal,512,2394.7,5030.8,15.9,7085.0,6078.7
ruler,niah_single,4096,2,SnapKV,98,2394.7,4696.5,16.18,7085.0,6003.5
ruler,niah_single,4096,2,SnapKV,128,2394.7,813.8,13.52,7085.0,6004.8
ruler,niah_single,4096,2,SnapKV,256,2394.7,5925.7,16.2,7085.0,6011.2
ruler,niah_single,4096,2,SnapKV,512,2394.7,5898.6,16.28,7085.0,6018.1
ruler,niah_single,4096,2,AdaSnapKV,98,2394.7,5872.8,16.35,7085.0,6017.3
ruler,niah_single,4096,2,AdaSnapKV,128,2394.7,5854.2,16.4,7085.0,6024.0
ruler,niah_single,4096,2,AdaSnapKV,256,2394.7,5908.4,16.25,7085.0,6052.4
ruler,niah_single,4096,2,AdaSnapKV,512,2394.7,2986.7,15.07,7085.0,6109.2
ruler,niah_single,4096,2,H2O,98,2394.7,3812.4,16.0,7085.0,6011.5
ruler,niah_single,4096,2,H2O,128,2394.7,5845.2,16.42,7085.0,6016.4
ruler,niah_single,4096,2,H2O,256,2394.7,5888.5,16.3,7085.0,6037.1
ruler,niah_single,4096,2,H2O,512,2394.7,2338.0,14.97,7085.0,6078.7
ruler,niah_single,4096,2,KiaOmni_σ8,98,2394.7,5851.1,16.41,7085.0,6011.5
ruler,niah_single,4096,2,KiaOmni_σ8,128,2394.7,5846.2,16.42,7085.0,6016.4
ruler,niah_single,4096,2,KiaOmni_σ8,256,2394.7,5913.0,16.24,7085.0,6037.1
ruler,niah_single,4096,2,KiaOmni_σ8,512,2394.7,5935.5,16.17,7085.0,6078.7
ruler,niah_single,4096,2,KiaOmni_Gaussian,98,2394.7,5656.6,16.09,7085.0,6011.5
ruler,niah_single,4096,2,KiaOmni_Gaussian,128,2394.7,4226.7,15.85,7085.0,6016.4
ruler,niah_single,4096,2,KiaOmni_Gaussian,256,2394.7,5901.7,16.27,7085.0,6037.1
ruler,niah_single,4096,2,KiaOmni_Gaussian,512,2394.7,5946.0,16.15,7085.0,6078.7
ruler,niah_single,4096,3,FullContext,98,2334.2,7024.5,13.81,7085.0,6647.8
ruler,niah_single,4096,3,FullContext,128,2334.2,7024.5,13.81,7085.0,6647.8
ruler,niah_single,4096,3,FullContext,256,2334.2,7024.5,13.81,7085.0,6647.8
ruler,niah_single,4096,3,FullContext,512,2334.2,7024.5,13.81,7085.0,6647.8
ruler,niah_single,4096,3,BlockSal,98,2334.2,5892.3,16.46,7085.0,6011.2
ruler,niah_single,4096,3,BlockSal,128,2334.2,5868.4,16.36,7085.0,6016.4
ruler,niah_single,4096,3,BlockSal,256,2334.2,5897.5,18.65,7085.0,6037.1
ruler,niah_single,4096,3,BlockSal,512,2334.2,5919.8,18.58,7085.0,6078.7
ruler,niah_single,4096,3,SnapKV,98,2334.2,1247.0,14.43,7085.0,6003.5
ruler,niah_single,4096,3,SnapKV,128,2334.2,755.5,13.24,7085.0,6004.7
ruler,niah_single,4096,3,SnapKV,256,2334.2,5884.6,16.65,7085.0,6011.5
ruler,niah_single,4096,3,SnapKV,512,2334.2,5872.7,18.73,7085.0,6023.3
ruler,niah_single,4096,3,AdaSnapKV,98,2334.2,5881.3,16.83,7085.0,6017.7
ruler,niah_single,4096,3,AdaSnapKV,128,2334.2,5919.5,16.72,7085.0,6024.5
ruler,niah_single,4096,3,AdaSnapKV,256,2334.2,497.4,10.05,7085.0,6053.5
ruler,niah_single,4096,3,AdaSnapKV,512,2334.2,6009.4,15.97,7085.0,6111.5
ruler,niah_single,4096,3,H2O,98,2334.2,4119.1,16.51,7085.0,6011.5
ruler,niah_single,4096,3,H2O,128,2334.2,5861.8,17.06,7085.0,6016.4
ruler,niah_single,4096,3,H2O,256,2334.2,472.9,10.57,7085.0,6037.1
ruler,niah_single,4096,3,H2O,512,2334.2,540.6,9.25,7085.0,6078.7
ruler,niah_single,4096,3,KiaOmni_σ8,98,2334.2,5842.3,16.77,7085.0,6011.5
ruler,niah_single,4096,3,KiaOmni_σ8,128,2334.2,5864.9,16.37,7085.0,6016.4
ruler,niah_single,4096,3,KiaOmni_σ8,256,2334.2,5890.4,18.67,7085.0,6037.1
ruler,niah_single,4096,3,KiaOmni_σ8,512,2334.2,5941.8,18.51,7085.0,6078.7
ruler,niah_single,4096,3,KiaOmni_Gaussian,98,2334.2,2272.8,15.84,7085.0,6011.5
ruler,niah_single,4096,3,KiaOmni_Gaussian,128,2334.2,5920.5,16.55,7085.0,6016.4
ruler,niah_single,4096,3,KiaOmni_Gaussian,256,2334.2,5987.8,16.03,7085.0,6037.1
ruler,niah_single,4096,3,KiaOmni_Gaussian,512,2334.2,5942.4,18.51,7085.0,6078.7
ruler,niah_single,4096,4,FullContext,98,2339.5,1725.0,4.06,7084.7,6647.6
ruler,niah_single,4096,4,FullContext,128,2339.5,1725.0,4.06,7084.7,6647.6
ruler,niah_single,4096,4,FullContext,256,2339.5,1725.0,4.06,7084.7,6647.6
ruler,niah_single,4096,4,FullContext,512,2339.5,1725.0,4.06,7084.7,6647.6
ruler,niah_single,4096,4,BlockSal,98,2339.5,3065.4,15.66,7084.7,6011.2
ruler,niah_single,4096,4,BlockSal,128,2339.5,5849.1,16.41,7084.7,6016.4
ruler,niah_single,4096,4,BlockSal,256,2339.5,950.1,13.68,7084.7,6037.1
ruler,niah_single,4096,4,BlockSal,512,2339.5,5973.2,16.07,7084.7,6078.7
ruler,niah_single,4096,4,SnapKV,98,2339.5,5813.7,16.34,7084.7,6003.5
ruler,niah_single,4096,4,SnapKV,128,2339.5,2555.6,15.26,7084.7,6004.7
ruler,niah_single,4096,4,SnapKV,256,2339.5,4309.5,16.01,7084.7,6008.7
ruler,niah_single,4096,4,SnapKV,512,2339.5,4678.1,16.03,7084.7,6019.4
ruler,niah_single,4096,4,AdaSnapKV,98,2339.5,5130.9,15.98,7084.7,6017.2
ruler,niah_single,4096,4,AdaSnapKV,128,2339.5,3889.0,15.94,7084.7,6023.8
ruler,niah_single,4096,4,AdaSnapKV,256,2339.5,3321.5,15.66,7084.7,6052.2
ruler,niah_single,4096,4,AdaSnapKV,512,2339.5,710.8,9.85,7084.7,6108.9
ruler,niah_single,4096,4,H2O,98,2339.5,3594.4,15.86,7084.7,6011.5
ruler,niah_single,4096,4,H2O,128,2339.5,4448.7,15.96,7084.7,6016.4
ruler,niah_single,4096,4,H2O,256,2339.5,4052.8,15.79,7084.7,6037.1
ruler,niah_single,4096,4,H2O,512,2339.5,660.4,10.6,7084.7,6078.7
ruler,niah_single,4096,4,KiaOmni_σ8,98,2339.5,5893.2,16.29,7084.7,6011.5
