source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,2,FullContext,256,3869.6,2124.6,5.18,4967.2,5511.3
ruler,niah_single,4096,2,FullContext,512,3869.6,2124.6,5.18,4967.2,5511.3
ruler,niah_single,4096,2,BlockSal,98,3869.6,762.4,14.43,4967.2,4610.7
ruler,niah_single,4096,2,BlockSal,128,3869.6,735.2,14.96,4967.2,4617.8
ruler,niah_single,4096,2,BlockSal,256,3869.6,749.3,14.68,4967.2,4646.1
ruler,niah_single,4096,2,BlockSal,512,3869.6,817.6,13.45,4967.2,4700.9
ruler,niah_single,4096,2,SnapKV,98,3869.6,1108.9,15.33,4967.2,4600.2
ruler,niah_single,4096,2,SnapKV,128,3869.6,2354.1,15.29,4967.2,4601.6
ruler,niah_single,4096,2,SnapKV,256,3869.6,606.2,14.85,4967.2,4607.8
ruler,niah_single,4096,2,SnapKV,512,3869.6,705.7,14.17,4967.2,4623.1
ruler,niah_single,4096,2,AdaSnapKV,98,3869.6,763.9,14.4,4967.2,4619.5
ruler,niah_single,4096,2,AdaSnapKV,128,3869.6,760.3,14.47,4967.2,4628.9
ruler,niah_single,4096,2,AdaSnapKV,256,3869.6,771.4,14.26,4967.2,4668.3
ruler,niah_single,4096,2,AdaSnapKV,512,3869.6,903.9,12.17,4967.2,4747.5
ruler,niah_single,4096,2,H2O,98,3869.6,687.7,14.54,4967.2,4611.1
ruler,niah_single,4096,2,H2O,128,3869.6,730.2,15.06,4967.2,4617.8
ruler,niah_single,4096,2,H2O,256,3869.6,754.2,14.58,4967.2,4646.1
ruler,niah_single,4096,2,H2O,512,3869.6,822.5,13.37,4967.2,4702.9
ruler,niah_single,4096,2,KiaOmni_σ8,98,3869.6,740.4,14.86,4967.2,4611.1
ruler,niah_single,4096,2,KiaOmni_σ8,128,3869.6,748.5,14.7,4967.2,4617.8
ruler,niah_single,4096,2,KiaOmni_σ8,256,3869.6,757.6,14.52,4967.2,4646.1
ruler,niah_single,4096,2,KiaOmni_σ8,512,3869.6,831.3,13.23,4967.2,4702.9
ruler,niah_single,4096,2,KiaOmni_Gaussian,98,3869.6,736.5,14.94,4967.2,4611.1
ruler,niah_single,4096,2,KiaOmni_Gaussian,128,3869.6,735.7,14.95,4967.2,4617.8
ruler,niah_single,4096,2,KiaOmni_Gaussian,256,3869.6,775.0,14.19,4967.2,4646.1
ruler,niah_single,4096,2,KiaOmni_Gaussian,512,3869.6,833.1,13.2,4967.2,4702.9
ruler,niah_single,4096,3,FullContext,98,3768.8,1974.1,4.56,4967.2,5511.3
ruler,niah_single,4096,3,FullContext,128,3768.8,1974.1,4.56,4967.2,5511.3
ruler,niah_single,4096,3,FullContext,256,3768.8,1974.1,4.56,4967.2,5511.3
ruler,niah_single,4096,3,FullContext,512,3768.8,1974.1,4.56,4967.2,5511.3
ruler,niah_single,4096,3,BlockSal,98,3768.8,615.5,14.62,4967.2,4610.7
ruler,niah_single,4096,3,BlockSal,128,3768.8,602.3,14.94,4967.2,4617.8
ruler,niah_single,4096,3,BlockSal,256,3768.8,645.5,13.94,4967.2,4646.1
ruler,niah_single,4096,3,BlockSal,512,3768.8,696.6,12.92,4967.2,4702.9
ruler,niah_single,4096,3,SnapKV,98,3768.8,6190.7,15.83,4967.2,4600.2
ruler,niah_single,4096,3,SnapKV,128,3768.8,794.3,15.11,4967.2,4601.6
ruler,niah_single,4096,3,SnapKV,256,3768.8,6218.4,15.76,4967.2,4605.4
ruler,niah_single,4096,3,SnapKV,512,3768.8,621.5,14.48,4967.2,4621.3
ruler,niah_single,4096,3,AdaSnapKV,98,3768.8,550.1,14.54,4967.2,4620.4
ruler,niah_single,4096,3,AdaSnapKV,128,3768.8,625.6,14.39,4967.2,4630.0
ruler,niah_single,4096,3,AdaSnapKV,256,3768.8,666.2,13.51,4967.2,4670.5
ruler,niah_single,4096,3,AdaSnapKV,512,3768.8,771.5,11.67,4967.2,4751.7
ruler,niah_single,4096,3,H2O,98,3768.8,860.6,15.11,4967.2,4611.1
ruler,niah_single,4096,3,H2O,128,3768.8,542.6,14.74,4967.2,4617.8
ruler,niah_single,4096,3,H2O,256,3768.8,626.8,14.36,4967.2,4646.1
ruler,niah_single,4096,3,H2O,512,3768.8,695.1,12.95,4967.2,4702.9
ruler,niah_single,4096,3,KiaOmni_σ8,98,3768.8,601.4,14.97,4967.2,4611.1
ruler,niah_single,4096,3,KiaOmni_σ8,128,3768.8,606.1,14.85,4967.2,4617.8
ruler,niah_single,4096,3,KiaOmni_σ8,256,3768.8,630.9,14.27,4967.2,4646.1
ruler,niah_single,4096,3,KiaOmni_σ8,512,3768.8,710.0,12.68,4967.2,4702.9
ruler,niah_single,4096,3,KiaOmni_Gaussian,98,3768.8,631.8,14.24,4967.2,4611.1
ruler,niah_single,4096,3,KiaOmni_Gaussian,128,3768.8,608.8,14.78,4967.2,4617.8
ruler,niah_single,4096,3,KiaOmni_Gaussian,256,3768.8,626.1,14.37,4967.2,4646.1
ruler,niah_single,4096,3,KiaOmni_Gaussian,512,3768.8,697.7,12.9,4967.2,4702.9
ruler,niah_single,4096,4,FullContext,98,3814.7,2178.6,5.51,4967.4,5511.8
ruler,niah_single,4096,4,FullContext,128,3814.7,2178.6,5.51,4967.4,5511.8
ruler,niah_single,4096,4,FullContext,256,3814.7,2178.6,5.51,4967.4,5511.8
ruler,niah_single,4096,4,FullContext,512,3814.7,2178.6,5.51,4967.4,5511.8
ruler,niah_single,4096,4,BlockSal,98,3814.7,6249.6,15.68,4967.4,4610.7
ruler,niah_single,4096,4,BlockSal,128,3814.7,806.1,14.89,4967.4,4617.8
ruler,niah_single,4096,4,BlockSal,256,3814.7,825.3,14.54,4967.4,4646.1
ruler,niah_single,4096,4,BlockSal,512,3814.7,885.4,13.55,4967.4,4702.9
ruler,niah_single,4096,4,SnapKV,98,3814.7,4897.4,15.52,4967.4,4600.2
ruler,niah_single,4096,4,SnapKV,128,3814.7,1498.9,15.34,4967.4,4601.4
ruler,niah_single,4096,4,SnapKV,256,3814.7,1273.6,15.7,4967.4,4606.0
ruler,niah_single,4096,4,SnapKV,512,3814.7,674.4,14.83,4967.4,4619.1
ruler,niah_single,4096,4,AdaSnapKV,98,3814.7,677.2,13.29,4967.4,4619.8
ruler,niah_single,4096,4,AdaSnapKV,128,3814.7,688.1,13.08,4967.4,4628.9
