Policy,Budget=96,Budget=128,Budget=256,Budget=512,Mean
SnapKV,0.1304,0.1478,0.2348,0.3391,0.2130
H2O,0.2348,0.2609,0.3217,0.3594,0.2942
AdaSnapKV,0.2609,0.3043,0.3391,0.3565,0.3152
BlockSal,0.2174,0.2812,0.3623,0.3565,0.3043
KiaOmni_s8,0.2348,0.2957,0.3449,0.3478,0.3058
KiaOmni_Gaussian,0.2261,0.2957,0.3362,0.3565,0.3036
FullContext,0.3623,0.3623,0.3623,0.3623,0.3623
